"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000010940129","FRPタンク（槽のみ）　縦型","CRK50-15D","026114000","CK01-No29A"
"zcrm_7345477000025727716","CRKUF-22C-5.25","CRKUF-22C-5.25","030072000","CKU13-No47B"
"zcrm_7345477000025727760","CRKUFC-22C-5.25","CRKUFC-22C-5.25","030368000","CKU14-No47B"
"zcrm_7345477000025727435","CRKUFCT-10D-5.4S","CRKUFCT-10D-5.4S","022358000","CKU26-No25B"
"zcrm_7345477000025727381","CRKUFT-10D-5.4S","CRKUFT-10D-5.4S","022276000","CKU25-No25B"
"zcrm_7345477000025677906","CRKUR-22C-5.25S","CRKUR-22C-5.25S","021296000","CKU13-No11C"
"zcrm_7345477000025727898","CRKURC-22C-5.15","CRKURC-22C-5.15","030734000","CKU04-No23B"
"zcrm_7345477000025727162","CRKURCT-04C-5.25S","CRKURCT-04C-5.25S","021747000","CKU16-No01C"
"zcrm_7345477000025728037","CRKURT-04C-5.25","CRKURT-04C-5.25","031200000","CKU15-No12B"
"zcrm_7345477000025728086","CRKUSR-22B-5.15","CRKUSR-22B-5.15","031254000","CKU01-No23B"
"zcrm_7345477000025728152","CRKUSRC-22B-5.15","CRKUSRC-22B-5.15","031336000","CKU02-No23B"
"zcrm_7345477000010940136","FRPタンク（槽のみ）　縦型","CRK50-15E","026115000","CK01-No37A"
"zcrm_7345477000025727717","CRKUF-26C-5.25","CRKUF-26C-5.25","030073000","CKU13-No48B"
"zcrm_7345477000025727761","CRKUFC-26C-5.25","CRKUFC-26C-5.25","030369000","CKU14-No48B"
"zcrm_7345477000025727436","CRKUFCT-12D-5.4S","CRKUFCT-12D-5.4S","022359000","CKU26-No26B"
"zcrm_7345477000025727382","CRKUFT-12D-5.4S","CRKUFT-12D-5.4S","022280000","CKU25-No26B"
"zcrm_7345477000025677907","CRKUR-26C-5.25S","CRKUR-26C-5.25S","021297000","CKU13-No12C"
"zcrm_7345477000025727899","CRKURC-26C-5.15","CRKURC-26C-5.15","030735000","CKU04-No24B"
"zcrm_7345477000025727163","CRKURCT-06C-5.25S","CRKURCT-06C-5.25S","021748000","CKU16-No02C"
"zcrm_7345477000025728038","CRKURT-06C-5.25","CRKURT-06C-5.25","031201000","CKU15-No13B"
"zcrm_7345477000025728087","CRKUSR-26B-5.15","CRKUSR-26B-5.15","031255000","CKU01-No24B"
"zcrm_7345477000025728153","CRKUSRC-26B-5.15","CRKUSRC-26B-5.15","031337000","CKU02-No24B"
"zcrm_7345477000010940110","FRPタンク（槽のみ）　縦型","CRK50-17B","026116000","CK01-No08A"
"zcrm_7345477000025727249","CRKUF-02C-5.4S","CRKUF-02C-5.4S","022029000","CKU23-No25B"
"zcrm_7345477000025727315","CRKUFC-02C-5.4S","CRKUFC-02C-5.4S","022170000","CKU24-No25B"
